7	Son Heung-Min	62	18	39	9	48	81.25
2	Kyle Walker	198	5	107	39	146	73.2876712329
3	Danny Rose	135	9	66	34	100	66.0
4	Toby Alderweireld	94	6	54	18	72	75.0
5	Jan Vertonghen	151	4	85	32	117	72.6495726496
16	Kieran Trippier	56	1	22	21	43	51.1627906977
27	Kevin Wimmer	15	0	9	2	11	81.8181818182
33	Ben Davies	125	4	55	37	92	59.7826086957
11	Erik Lamela	85	8	42	20	62	67.7419354839
15	Eric Dier	101	7	57	18	75	76.0
19	Mousa Dembele	205	12	107	47	154	69.4805194805
20	Dele Alli	70	28	45	8	53	84.9056603774
23	Christian Eriksen	134	31	75	28	103	72.8155339806
10	Harry Kane	116	78	66	23	89	74.1573033708
12	Victor Wanyama	121	8	63	31	94	67.0212765957
9	Vincent Janssen	27	2	17	3	20	85.0
25	Josh Onomah	13	0	8	2	10	80.0
29	Harry Winks	21	1	14	3	17	82.3529411765
30	Pau Lopez	0	0	0	0	0	0
17	Moussa Sissoko	143	11	58	59	117	49.5726495726
14	Georges Kevin-Nkoudou	8	0	5	2	7	71.4285714286
1	Hugo Lloris	170	59	98	34	132	74.2424242424
13	Michel Vorm	99	31	32	37	69	46.3768115942
